majors,links
"Landscape Architecture, BLA",http://guide.wisc.edu/undergraduate/letters-science/planning-landscape-architecture/landscape-architecture-bla/
"Landscape and Urban Studies, B.A.",https://guide.wisc.edu/undergraduate/letters-science/planning-landscape-architecture/landscape-urban-studies-ba/
"Landscape Architecture, BSLA",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/college-wide/landscape-architecture-bsla/
"Latin, B.A.",http://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/latin-ba/
"Latin, B.S.",http://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/latin-bs/
"Latin, BSE",http://guide.wisc.edu/undergraduate/education/curriculum-instruction/latin-bse/
"Latin American, Caribbean, and Iberian Studies, B.A.",http://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/latin-american-caribbean-iberian-studies-ba/
"Latin American, Caribbean, and Iberian Studies, B.S.",http://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/latin-american-caribbean-iberian-studies-bs/
"Legal Studies, B.A.",http://guide.wisc.edu/undergraduate/letters-science/center-law-society-justice/legal-studies-ba/
"Legal Studies, B.S.",http://guide.wisc.edu/undergraduate/letters-science/center-law-society-justice/legal-studies-bs/
"LGBTQ+ Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/gender-womens-studies/lgbtq-plus-studies-certificate/
"Life Sciences Communication, B.S.",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/life-sciences-communication/life-sciences-communication-bs/
"Linguistics, B.A.",http://guide.wisc.edu/undergraduate/letters-science/language-sciences/linguistics-ba/
"Linguistics, B.S.",http://guide.wisc.edu/undergraduate/letters-science/language-sciences/linguistics-bs/
"Manufacturing Engineering, Certificate",http://guide.wisc.edu/undergraduate/engineering/mechanical-engineering/manufacturing-engineering-certificate/
"Materials Science and Engineering, B.S.",http://guide.wisc.edu/undergraduate/engineering/materials-science-engineering/materials-science-engineering-bs/
"Mathematics, B.A.",http://guide.wisc.edu/undergraduate/letters-science/mathematics/mathematics-ba/
"Mathematics, B.S.",http://guide.wisc.edu/undergraduate/letters-science/mathematics/mathematics-bs/
"Mathematics, Certificate",http://guide.wisc.edu/undergraduate/letters-science/mathematics/mathematics-certificate/
"Mechanical Engineering, B.S.",http://guide.wisc.edu/undergraduate/engineering/mechanical-engineering/mechanical-engineering-bs/
"Medieval Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/history/medieval-studies-certificate/
"Microbiology, B.A. (L&S)",http://guide.wisc.edu/undergraduate/letters-science/bacteriology/microbiology-ba/
"Microbiology, B.S. (CALS)",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/bacteriology/microbiology-bs/
"Microbiology, B.S. (L&S)",http://guide.wisc.edu/undergraduate/letters-science/bacteriology/microbiology-bs/
"Middle East Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/middle-east-studies-certificate/
"Molecular and Cell Biology, B.A.",https://guide.wisc.edu/undergraduate/letters-science/integrative-biology/molecular-cell-biology-ba/
"Molecular and Cell Biology, B.S.",https://guide.wisc.edu/undergraduate/letters-science/integrative-biology/molecular-cell-biology-bs/
"Music, B.A.",http://guide.wisc.edu/undergraduate/letters-science/music/music-ba/
"Music, B.S.",http://guide.wisc.edu/undergraduate/letters-science/music/music-bs/
"Music: Education, B.M.",http://guide.wisc.edu/undergraduate/letters-science/music/music-education-bm/
"Music: Performance, B.M.",http://guide.wisc.edu/undergraduate/letters-science/music/music-performance-bm/
"Naval Science, BNS",http://guide.wisc.edu/undergraduate/engineering/college-wide/naval-science-bns/
"Neurobiology, B.A.",http://guide.wisc.edu/undergraduate/letters-science/integrative-biology/neurobiology-ba/
"Neurobiology, B.S.",http://guide.wisc.edu/undergraduate/letters-science/integrative-biology/neurobiology-bs/
"Nuclear Engineering, B.S.",http://guide.wisc.edu/undergraduate/engineering/engineering-physics/nuclear-engineering-bs/
"Nuclear Engineering Materials, Certificate",http://guide.wisc.edu/undergraduate/engineering/engineering-physics/nuclear-engineering-materials-certificate/
"Nursing, BSN",http://guide.wisc.edu/undergraduate/nursing/nursing/nursing-bsn/
"Nursing, BSN (Accelerated Program)",http://guide.wisc.edu/undergraduate/nursing/nursing/nursing-accelerated-program-bsn/
"Nursing, BSN (Collaborative Program)",http://guide.wisc.edu/undergraduate/nursing/nursing/nursing-collaborative-program-bsn/
"Nutritional Sciences, B.S.",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/nutritional-sciences/nutritional-sciences-bs/
"Nutritional Sciences, B.S. Nutrition and Dietetics",https://guide.wisc.edu/undergraduate/agricultural-life-sciences/nutritional-sciences/nutritional-sciences-bs-nutrition-dietetics/
"Personal Finance, B.S.",http://guide.wisc.edu/undergraduate/human-ecology/consumer-science/personal-finance-bs/
"Pharmaceutical Sciences, B.S.",http://guide.wisc.edu/undergraduate/pharmacy/pharmacy/pharmaceutical-sciences-bs/
"Pharmacology and Toxicology, B.S.",http://guide.wisc.edu/undergraduate/pharmacy/pharmacy/pharmacology-toxicology-bs/
"Philosophy, B.A.",http://guide.wisc.edu/undergraduate/letters-science/philosophy/philosophy-ba/
"Philosophy, B.S.",http://guide.wisc.edu/undergraduate/letters-science/philosophy/philosophy-bs/
"Physical Education, B.S.",http://guide.wisc.edu/undergraduate/education/kinesiology/physical-education-bs/
"Physics, B.A.",http://guide.wisc.edu/undergraduate/letters-science/physics/physics-ba/
"Physics, B.S.",http://guide.wisc.edu/undergraduate/letters-science/physics/physics-bs/
"Physics, Certificate",http://guide.wisc.edu/undergraduate/letters-science/physics/physics-certificate/
"Pilates, Certificate",http://guide.wisc.edu/undergraduate/education/dance/pilates-certificate/
"Plant Pathology, B.S.",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/plant-pathology/plant-pathology-bs/
"Polish, B.A.",http://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/polish-ba/
"Polish, B.S.",http://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/polish-bs/
"Political Economy, Philosophy, and Politics, Certificate",http://guide.wisc.edu/undergraduate/letters-science/political-science/political-economy-philosophy-politics-certificate/
"Political Science, B.A.",http://guide.wisc.edu/undergraduate/letters-science/political-science/political-science-ba/
"Political Science, B.S.",http://guide.wisc.edu/undergraduate/letters-science/political-science/political-science-bs/
"Portuguese, B.A.",http://guide.wisc.edu/undergraduate/letters-science/spanish-portuguese/portuguese-ba/
"Portuguese, B.S.",http://guide.wisc.edu/undergraduate/letters-science/spanish-portuguese/portuguese-bs/
"Portuguese, BSE",http://guide.wisc.edu/undergraduate/education/curriculum-instruction/portuguese-bse/
"Promoting Activity for Diverse Abilities, Certificate",https://guide.wisc.edu/undergraduate/education/kinesiology/promoting-activity-diverse-abilities-certificate/
"Psychology, B.A.",http://guide.wisc.edu/undergraduate/letters-science/psychology/psychology-ba/
"Psychology, B.S.",http://guide.wisc.edu/undergraduate/letters-science/psychology/psychology-bs/
"Public Policy, Certificate",https://guide.wisc.edu/undergraduate/letters-science/lafollette-school-public-affairs/public-affairs-certificate/
"Rehabilitation Psychology, B.S.",http://guide.wisc.edu/undergraduate/education/rehabilitation-psychology-special-education/rehabilitation-psychology-bse/
"Religious Studies, B.A.",http://guide.wisc.edu/undergraduate/letters-science/religious-studies/religious-studies-ba/
"Religious Studies, B.S.",http://guide.wisc.edu/undergraduate/letters-science/religious-studies/religious-studies-bs/
"Religious Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/religious-studies/religious-studies-certificate/
"Retailing and Consumer Behavior, B.S.",http://guide.wisc.edu/undergraduate/human-ecology/consumer-science/retailing-consumer-behavior-bs/
"Russian, B.A.",http://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/russian-ba/
"Russian, B.S.",http://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/russian-bs/
"Russian, East European, and Central Asian Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/russian-east-european-central-asian-studies-certificate/
